T	X[nTp]	Y[nTp]
1.976	1	0.989418
1.98	1	0.989418
1.984	1	0.989418
1.988	1	0.989418
1.992	1	0.989418
1.996	1	0.989418
2	1	0.989418
2.004	1	0.989418
2.008	1	0.989418
2.012	1	0.989418
2.016	1	0.989418
2.02	1	0.989418
2.024	1	0.989418
2.028	1	0.989418
2.032	1	0.989418
2.036	1	0.989418
2.04	1	0.989418
2.044	1	0.989418
2.048	1	0.989418
2.052	1	0.989418
2.056	1	0.989418
2.06	1	0.989418
2.064	1	0.989418
2.068	1	0.989418
2.072	1	0.989418
2.076	1	0.989418
2.08	1	0.989418
2.084	1	0.989418
2.088	1	0.989418
2.092	1	0.989418
2.096	1	0.989418
2.1	1	0.989418
2.104	1	0.989418
2.108	1	0.989418
2.112	1	0.989418
2.116	1	0.989418
2.12	1	0.989418
2.124	1	0.989418
2.128	1	0.989418
2.132	1	0.989418
2.136	1	0.989418
2.14	1	0.989418
2.144	1	0.989418
2.148	1	0.989418
2.152	1	0.989418
2.156	1	0.989418
2.16	1	0.989418
2.164	1	0.989418
2.168	1	0.989418
2.172	1	0.989418
2.176	1	0.989418
2.18	1	0.989418
2.184	1	0.989418
2.188	1	0.989418
2.192	1	0.989418
2.196	1	0.989418
2.2	1	0.989418
2.204	1	0.989418
2.208	1	0.989418
2.212	1	0.989418
2.216	1	0.989418
2.22	1	0.989418
2.224	1	0.989418
2.228	1	0.989418
2.232	1	0.989418
2.236	1	0.989418
2.24	1	0.989418
2.244	1	0.989418
2.248	1	0.989418
2.252	1	0.989418
2.256	1	0.989418
2.26	1	0.989418
2.264	1	0.989418
2.268	1	0.989418
2.272	1	0.989418
2.276	1	0.989418
2.28	1	0.989418
2.284	1	0.989418
2.288	1	0.989418
2.292	1	0.989418
2.296	1	0.989418
2.3	1	0.989418
2.304	1	0.989418
2.308	1	0.989418
2.312	1	0.989418
2.316	1	0.989418
2.32	1	0.989418
2.324	1	0.989418
2.328	1	0.989418
2.332	1	0.989418
2.336	1	0.989418
2.34	1	0.989418
2.344	1	0.989418
2.348	1	0.989418
2.352	1	0.989418
2.356	1	0.989418
2.36	1	0.989418
2.364	1	0.989418
2.368	1	0.989418
2.372	1	0.989418
2.376	1	0.989418
2.38	1	0.989418
2.384	1	0.989418
2.388	1	0.989418
2.392	1	0.989418
2.396	1	0.989418
2.4	1	0.989418
2.404	1	0.989418
2.408	1	0.989418
2.412	1	0.989418
2.416	1	0.989418
2.42	1	0.989418
2.424	1	0.989418
2.428	1	0.989418
2.432	1	0.989418
2.436	1	0.989418
2.44	1	0.989418
2.444	1	0.989418
2.448	1	0.989418
2.452	1	0.989418
2.456	1	0.989418
2.46	1	0.989418
2.464	1	0.989418
2.468	1	0.989418
2.472	1	0.989418
2.476	1	0.989418
2.48	1	0.989418
2.484	1	0.989418
2.488	1	0.989418
2.492	1	0.989418
2.496	1	0.989418
2.5	1	0.989418
2.504	1	0.989418
2.508	1	0.989418
2.512	1	0.989418
2.516	1	0.989418
2.52	1	0.989418
2.524	1	0.989418
2.528	1	0.989418
2.532	1	0.989418
2.536	1	0.989418
2.54	1	0.989418
2.544	1	0.989418
2.548	1	0.989418
2.552	1	0.989418
2.556	1	0.989418
2.56	1	0.989418
2.564	1	0.989418
2.568	1	0.989418
2.572	1	0.989418
2.576	1	0.989418
2.58	1	0.989418
2.584	1	0.989418
2.588	1	0.989418
2.592	1	0.989418
2.596	1	0.989418
2.6	1	0.989418
2.604	1	0.989418
2.608	1	0.989418
2.612	1	0.989418
2.616	1	0.989418
2.62	1	0.989418
2.624	1	0.989418
2.628	1	0.989418
2.632	1	0.989418
2.636	1	0.989418
2.64	1	0.989418
2.644	1	0.989418
2.648	1	0.989418
2.652	1	0.989418
2.656	1	0.989418
2.66	1	0.989418
2.664	1	0.989418
2.668	1	0.989418
2.672	1	0.989418
2.676	1	0.989418
2.68	1	0.989418
2.684	1	0.989418
2.688	1	0.989418
2.692	1	0.989418
2.696	1	0.989418
2.7	1	0.989418
2.704	1	0.989418
2.708	1	0.989418
2.712	1	0.989418
